Datetime,Product,Availability
0,"2021/08/05, 13:00:57",Shadow image 1 - Model 00 Stool in Shadow Linen Front View,available
1,"2021/08/05, 13:00:57",Brick image 1 - Model 00 Stool in Brick Velvet Front View,available
2,"2021/08/05, 13:00:57",Seaglass image 1 - Model 00 Stool in Seaglass Linen Front View,available
0,"2021/08/05, 13:00:57",Pumice image 1 - Model 00 Stool in Pumice Linen Front View,not available
1,"2021/08/05, 13:00:57",Teal image 1 - Model 00 Stool in Teal Velvet Front View,not available
2,"2021/08/05, 13:00:57",Vine image 1 - Model 00 Stool in Vine Velvet Front View,not available
0,"2021/08/05, 13:00:57",Pumice image 1 - Model 04 3 Seater in Pumice Linen Front View,available
1,"2021/08/05, 13:00:57",Teal image 1 - Model 04 3 Seater in Teal Velvet Front View,available
2,"2021/08/05, 13:00:57",Vine image 1 - Model 04 3 Seater in Vine Velvet Front View,available
3,"2021/08/05, 13:00:57",Shadow image 1 - Model 04 3 Seater in Shadow Linen Front View,available
4,"2021/08/05, 13:00:57",Seaglass image 1 - Model 04 3 Seater in Seaglass Linen Front View,available
5,"2021/08/05, 13:00:57",Light Grey image 1 - Model 04 3 Seater in Light Grey Velvet Front View,available
0,"2021/08/05, 13:00:57",Brick image 1 - Model 04 3 Seater in Brick Velvet Front View,not available
0,"2021/08/05, 13:00:57",Teal image 1 - Model 01 Armchair in Teal Velvet Front View,available
1,"2021/08/05, 13:00:57",Elephant image 1 - Model 01 Armchair in Elephant Velvet Front View,available
2,"2021/08/05, 13:00:57",Light Grey image 1 - Model 01 Armchair in Light Grey Velvet Front View,available
3,"2021/08/05, 13:00:57",Pumice image 1 - Model 01 3 Seater in Pumice Linen Front View,available
4,"2021/08/05, 13:00:57",Teal image 1 - Model 01 3 Seater in Teal Velvet Front View,available
5,"2021/08/05, 13:00:57",Vine image 1 - Model 01 3 Seater in Vine Velvet Front View,available
6,"2021/08/05, 13:00:57",Shadow image 1 - Model 01 3 Seater in Shadow Linen Front View,available
7,"2021/08/05, 13:00:57",Brick image 1 - Model 01 3 Seater in Brick Velvet Front View,available
8,"2021/08/05, 13:00:57",Seaglass image 1 - Model 01 3 Seater in Seaglass Linen Front View,available
9,"2021/08/05, 13:00:57",Light Grey image 1 - Model 01 3 Seater in Light Grey Velvet Front View,available
10,"2021/08/05, 13:00:57",Pumice image 1 - Model 01 2 seater in Pumice Linen Front View,available
11,"2021/08/05, 13:00:57",Teal image 1 - Model 01 2 seater in Teal Velvet Front View,available
12,"2021/08/05, 13:00:57",Shadow image 1 - Model 01 2 seater in Shadow Linen Front View,available
13,"2021/08/05, 13:00:57",Vine image 1 - Model 01 2 seater in Vine Velvet Front View,available
14,"2021/08/05, 13:00:57",Elephant image 1 - Model 01 2 seater in Elephant Velvet Front View,available
15,"2021/08/05, 13:00:57",Seaglass image 1 - Model 01 2 seater in Seaglass Linen Front View,available
16,"2021/08/05, 13:00:57",Light Grey image 1 - Model 01 2 seater in Light Grey Velvet Front View,available
0,"2021/08/05, 13:00:57",Shadow image 1 - Model 01 Armchair in Shadow Linen Front View,not available
1,"2021/08/05, 13:00:57",Vine image 1 - Model 01 Armchair in Vine Velvet Front View,not available
2,"2021/08/05, 13:00:57",Brick image 1 - Model 01 Armchair in Brick Velvet Front View,not available
3,"2021/08/05, 13:00:57",Seaglass image 1 - Model 01 Armchair in Seaglass Linen Front View,not available
4,"2021/08/05, 13:00:57",Pumice image 1 - Model 01 Armchair in Pumice Linen Front View,not available
5,"2021/08/05, 13:00:57",Elephant image 1 - Model 01 3 Seater in Elephant Velvet Front View,not available
6,"2021/08/05, 13:00:57",Brick image 1 - Model 01 2 seater in Brick Velvet Front View,not available
0,"2021/08/05, 13:00:57",Teal image 1 - Model 02 3 Seater in Teal Velvet Front View,available
1,"2021/08/05, 13:00:57",Shadow image 1 - Model 02 3 Seater in Shadow Linen Front View,available
2,"2021/08/05, 13:00:57",Vine image 1 - Model 02 3 Seater in Vine Velvet Front View,available
3,"2021/08/05, 13:00:57",Seaglass image 1 - Model 02 3 Seater in Seaglass Linen Front View,available
4,"2021/08/05, 13:00:57",Light Grey image 1 - Model 02 3 Seater in Light Grey Velvet Front View,available
5,"2021/08/05, 13:00:57",Teal image 1 - Model 02 2 seater in Teal Velvet Front View,available
6,"2021/08/05, 13:00:57",Shadow image 1 - Model 02 2 seater in Shadow Linen Front View,available
7,"2021/08/05, 13:00:57",Vine image 1 - Model 02 2 seater in Vine Velvet Front View,available
8,"2021/08/05, 13:00:57",Elephant image 1 - Model 02 2 seater in Elephant Velvet Front View,available
9,"2021/08/05, 13:00:57",Brick image 1 - Model 02 2 seater in Brick Velvet Front View,available
10,"2021/08/05, 13:00:57",Seaglass image 1 - Model 02 2 seater in Seaglass Linen Front View,available
11,"2021/08/05, 13:00:57",Light Grey image 1 - Model 02 2 seater in Light Grey Velvet Front View,available
0,"2021/08/05, 13:00:57",Pumice image 1 - Model 02 3 Seater in Pumice Linen Front View,not available
1,"2021/08/05, 13:00:57",Elephant image 1 - Model 02 3 Seater in Elephant Velvet Front View,not available
2,"2021/08/05, 13:00:57",Brick image 1 - Model 02 3 Seater in Brick Velvet Front View,not available
3,"2021/08/05, 13:00:57",Pumice image 1 - Model 02 2 seater in Pumice Linen Front View,not available
0,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 Single Seat in Pumice Linen Front View,available
1,"2021/08/05, 13:00:58",Teal image 1 - Model 03 Single Seat in Teal Velvet Front View,available
2,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 Single Seat in Shadow Linen Front View,available
3,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 Single Seat in Light grey Velvet Front View,available
4,"2021/08/05, 13:00:58",Vine image 1 - Model 03 Single Seat in Vine Velvet Front View,available
5,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 Corner Module in Pumice Linen Front View,available
6,"2021/08/05, 13:00:58",Teal image 1 - Model 03 Corner Module in Teal Velvet Front View,available
7,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 Corner Module in Light grey Velvet Front View,available
8,"2021/08/05, 13:00:58",Vine image 1 - Model 03 Corner Module in Vine Velvet Front View,available
9,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 2 Seater Left Chaise in Pumice Linen Front View,available
10,"2021/08/05, 13:00:58",Teal image 1 - Model 03 2 Seater Left Chaise in Teal Velvet Front View,available
11,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 2 Seater Left Chaise in Shadow Linen Front View,available
12,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 2 Seater Left Chaise in Light grey Velvet Front View,available
13,"2021/08/05, 13:00:58",Vine image 1 - Model 03 2 Seater Left Chaise in Vine Velvet Front View,available
14,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 Right Arm in Pumice Linen Front View,available
15,"2021/08/05, 13:00:58",Teal image 1 - Model 03 Right Arm in Teal Velvet Front View,available
16,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 Right Arm in Shadow Linen Front View,available
17,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 Right Arm in Light grey Velvet Front View,available
18,"2021/08/05, 13:00:58",Vine image 1 - Model 03 Right Arm in Vine Velvet Front View,available
19,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 Ottoman in Pumice Linen Front View,available
20,"2021/08/05, 13:00:58",Teal image 1 - Model 03 Ottoman in Teal Velvet Front View,available
21,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 Ottoman in Shadow Linen Front View,available
22,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 Ottoman in Light grey Velvet Front View,available
23,"2021/08/05, 13:00:58",Vine image 1 - Model 03 Ottoman in Vine Velvet Front View,available
24,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 Left Arm in Pumice Linen Front View,available
25,"2021/08/05, 13:00:58",Teal image 1 - Model 03 Left Arm in Teal Velvet Front View,available
26,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 Left Arm in Shadow Linen Front View,available
27,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 Left Arm in Light grey Velvet Front View,available
28,"2021/08/05, 13:00:58",Vine image 1 - Model 03 Left Arm in Vine Velvet Front View,available
29,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 Corner Sofa with Ottoman in Pumice Linen Front View,available
30,"2021/08/05, 13:00:58",Teal image 1 - Model 03 Corner Sofa with Ottoman in Teal Velvet Front View,available
31,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 Corner Sofa with Ottoman in Light grey Velvet Front View,available
32,"2021/08/05, 13:00:58",Vine image 1 - Model 03 Corner Sofa with Ottoman in Vine Velvet Front View,available
33,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 Corner Sofa in Pumice Linen Front View,available
34,"2021/08/05, 13:00:58",Teal image 1 - Model 03 Corner Sofa in Teal Velvet Front View,available
35,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 Corner Sofa in Light grey Velvet Front View,available
36,"2021/08/05, 13:00:58",Vine image 1 - Model 03 Corner Sofa in Vine Velvet Front View,available
37,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 4 Seater Right Chaise in Pumice Linen Front View,available
38,"2021/08/05, 13:00:58",Teal image 1 - Model 03 4 Seater Right Chaise in Teal Velvet Front View,available
39,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 4 Seater Right Chaise in Shadow Linen Front View,available
40,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 4 Seater Right Chaise in Light grey Velvet Front View,available
41,"2021/08/05, 13:00:58",Vine image 1 - Model 03 4 Seater Right Chaise in Vine Velvet Front View,available
42,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 4 Seater Left Chaise in Pumice Linen Front View,available
43,"2021/08/05, 13:00:58",Teal image 1 - Model 03 4 Seater Left Chaise in Teal Velvet Front View,available
44,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 4 Seater Left Chaise in Shadow Linen Front View,available
45,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 4 Seater Left Chaise in Light grey Velvet Front View,available
46,"2021/08/05, 13:00:58",Vine image 1 - Model 03 4 Seater Left Chaise in Vine Velvet Front View,available
47,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 4 seater in Pumice Linen Front View,available
48,"2021/08/05, 13:00:58",Teal image 1 - Model 03 4 seater in Teal Velvet Front View,available
49,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 4 seater in Shadow Linen Front View,available
50,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 4 seater in Light grey Velvet Front View,available
51,"2021/08/05, 13:00:58",Vine image 1 - Model 03 4 seater in Vine Velvet Front View,available
52,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 3 Seater Right Chaise in Pumice Linen Front View,available
53,"2021/08/05, 13:00:58",Teal image 1 - Model 03 3 Seater Right Chaise in Teal Velvet Front View,available
54,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 3 Seater Right Chaise in Shadow Linen Front View,available
55,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 3 Seater Right Chaise in Light grey Velvet Front View,available
56,"2021/08/05, 13:00:58",Vine image 1 - Model 03 3 Seater Right Chaise in Vine Velvet Front View,available
57,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 3 Seater Left Chaise in Pumice Linen Front View,available
58,"2021/08/05, 13:00:58",Teal image 1 - Model 03 3 Seater Left Chaise in Teal Velvet Front View,available
59,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 3 Seater Left Chaise in Shadow Linen Front View,available
60,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 3 Seater Left Chaise in Light grey Velvet Front View,available
61,"2021/08/05, 13:00:58",Vine image 1 - Model 03 3 Seater Left Chaise in Vine Velvet Front View,available
62,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 3 seater in Pumice Linen Front View,available
63,"2021/08/05, 13:00:58",Teal image 1 - Model 03 3 seater in Teal Velvet Front View,available
64,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 3 seater in Shadow Linen Front View,available
65,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 3 seater in Light grey Velvet Front View,available
66,"2021/08/05, 13:00:58",Vine image 1 - Model 03 3 seater in Vine Velvet Front View,available
67,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 2 Seater Right Chaise in Pumice Linen Front View,available
68,"2021/08/05, 13:00:58",Teal image 1 - Model 03 2 Seater Right Chaise in Teal Velvet Front View,available
69,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 2 Seater Right Chaise in Shadow Linen Front View,available
70,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 2 Seater Right Chaise in Light grey Velvet Front View,available
71,"2021/08/05, 13:00:58",Vine image 1 - Model 03 2 Seater Right Chaise in Vine Velvet Front View,available
72,"2021/08/05, 13:00:58",Pumice image 1 - Model 03 2 seater in Pumice Linen Front View,available
73,"2021/08/05, 13:00:58",Teal image 1 - Model 03 2 seater in Teal Velvet Front View,available
74,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 2 seater in Shadow Linen Front View,available
75,"2021/08/05, 13:00:58",Light grey image 1 - Model 03 2 seater in Light grey Velvet Front View,available
76,"2021/08/05, 13:00:58",Model 03 2 Seater,available
0,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 Corner Module in Shadow Linen Front View,not available
1,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 Corner Sofa with Ottoman in Shadow Linen Front View,not available
2,"2021/08/05, 13:00:58",Shadow image 1 - Model 03 Corner Sofa in Shadow Linen Front View,not available
0,"2021/08/09, 10:08:45",Pumice image 1 - Model 01 3 Seater in Pumice Linen Front View,available
1,"2021/08/09, 10:08:45",Teal image 1 - Model 01 3 Seater in Teal Velvet Front View,available
2,"2021/08/09, 10:08:45",Vine image 1 - Model 01 3 Seater in Vine Velvet Front View,available
3,"2021/08/09, 10:08:45",Shadow image 1 - Model 01 3 Seater in Shadow Linen Front View,available
4,"2021/08/09, 10:08:45",Seaglass image 1 - Model 01 3 Seater in Seaglass Linen Front View,available
5,"2021/08/09, 10:08:45",Light Grey image 1 - Model 01 3 Seater in Light Grey Velvet Front View,available
6,"2021/08/09, 10:08:45",Teal image 1 - Model 01 2 seater in Teal Velvet Front View,available
7,"2021/08/09, 10:08:45",Shadow image 1 - Model 01 2 seater in Shadow Linen Front View,available
8,"2021/08/09, 10:08:45",Vine image 1 - Model 01 2 seater in Vine Velvet Front View,available
9,"2021/08/09, 10:08:45",Elephant image 1 - Model 01 2 seater in Elephant Velvet Front View,available
10,"2021/08/09, 10:08:45",Seaglass image 1 - Model 01 2 seater in Seaglass Linen Front View,available
